"id","st_code","st_name","opening","lat","lon","x","y"
72,"BP12","JELAPANG LRT STATION","1999-11-06 00:00:00","1.3867023583476195","103.76450300487436","20341.7491","40960.2020"
73,"EW29","JOO KOON MRT STATION","2009-02-28 00:00:00","1.3277165064270866","103.67837481076391","10756.3544","34438.2764"
74,"EW24/NS1","JURONG EAST MRT STATION","1988-11-05 00:00:00","1.3331519532278324","103.7422862107588","17869.0806","35038.9472"
75,"PE5","KADALOOR LRT STATION","2005-01-29 00:00:00","1.3995084461509655","103.91657463120775","37265.3156","42376.2873"
76,"DT28","KAKI BUKIT MRT STATION","2017-12-30 00:00:00","1.3349666348977918","103.9084594010759","36362.4224","35239.5458"
77,"EW10","KALLANG MRT STATION","1989-11-04 00:00:00","1.311488242975122","103.87138620801176","32236.6038","32643.3302"
78,"SE4","KANGKAR LRT STATION","2003-01-18 00:00:00","1.383958448000847","103.90222503712941","35668.4482","40656.7943"
79,"TE24","KATONG PARK MRT STATION","2023-12-30 00:00:00","1.297842","103.885776","NR","NR"
80,"BP3","KEAT HONG LRT STATION","1999-11-06 00:00:00","1.3786020993169152","103.74905518614288","18622.5727","40064.5711"
81,"EW6","KEMBANGAN MRT STATION","1989-11-04 00:00:00","1.3210360137352701","103.91295781759368","36863.0989","33699.1834"
82,"CC24","KENT RIDGE MRT STATION","2011-10-08 00:00:00","1.293536319473957","103.78457203356707","22574.9694","30658.3189"
83,"NS14","KHATIB MRT STATION","1988-12-20 00:00:00","1.4173827034869282","103.832979575304","27962.3109","44352.5680"
84,"DT6","KING ALBERT PARK MRT STATION","2015-12-27 00:00:00","1.3356620953517329","103.7833987803858","22444.4896","35316.3750"
85,"NE13","KOVAN MRT STATION","2003-06-20 00:00:00","1.3601785036081246","103.885064522977","33758.7578","38027.2794"
86,"NS7","KRANJI MRT STATION","1996-02-10 00:00:00","1.4250863136624357","103.76213712614951","20078.5865","45204.5168"
87,"SW3","KUPANG LRT STATION","2015-06-27 00:00:00","1.3982121617306809","103.88125588861757","33334.8164","42232.8408"
88,"CC27","LABRADOR PARK MRT STATION","2011-10-08 00:00:00","1.2722535108392996","103.80263124499676","24584.7750","28304.9441"
89,"EW26","LAKESIDE MRT STATION","1988-11-05 00:00:00","1.344258583633326","103.72094893529597","15494.5171","36267.1620"
90,"EW11","LAVENDER MRT STATION","1989-11-04 00:00:00","1.3073912126899014","103.86278427666332","31279.2955","32190.2887"
91,"SW6","LAYAR LRT STATION","2005-01-29 00:00:00","1.392079172106041","103.88002926789288","33198.3234","41554.6829"
92,"TE5","LENTOR MRT STATION","2020-12-30 00:00:00","1.3855183920042102","103.83572270600098","28267.5856","40829.1738"
93,"NE7/DT12","LITTLE INDIA MRT STATION","2003-06-20 00:00:00","1.306799358645147","103.84964663323476","29817.1982","32124.8312"
94,"CC14","LORONG CHUAN MRT STATION","2009-05-28 00:00:00","1.3516115043587404","103.86415160560188","31431.4055","37079.9444"
95,"CC10/DT26","MACPHERSON MRT STATION","2010-04-17 00:00:00","1.3261495758439803","103.88929826267453","34230.0100","34264.5433"
96,"NS27/CE2/TE20","MARINA BAY MRT STATION","1989-11-04 00:00:00","1.2763104771326401","103.85460464232517","30369.0069","28753.5319"
97,"TE21","MARINA SOUTH MRT STATION","2021-12-30 00:00:00","1.2746034437263032","103.86346145304552","31354.7019","28564.7868"
98,"NS28","MARINA SOUTH PIER MRT STATION","2014-11-23 00:00:00","1.2710263695123203","103.86244718233067","31241.8260","28169.2511"
99,"TE26","MARINE PARADE MRT STATION","2023-12-30 00:00:00","1.30475","103.908131","NR","NR"
100,"TE27","MARINE TERRACE MRT STATION","2023-12-30 00:00:00","1.306893","103.915009","NR","NR"
101,"NS8","MARSILING MRT STATION","1996-02-10 00:00:00","1.4325204816109187","103.77407430791662","21407.0413","46026.5125"
102,"CC16","MARYMOUNT MRT STATION","2009-05-28 00:00:00","1.3487065963512304","103.83942279923492","28679.3688","36758.7136"
103,"DT25","MATTAR MRT STATION","2017-12-30 00:00:00","1.3268760480457564","103.88324717582336","33556.5834","34344.8585"
104,"TE18","MAXWELL MRT STATION","2021-12-30 00:00:00","1.2805309194813377","103.84384731367295","29171.7997","29220.1992"
